ID,Nisba,Arabic Nisba
973,Takrūrī,تكروري
974,Shirbīnī,شربيني
976,Jawrī,جوري
977,Marzūqī,مرزوقي
978,Aksīmī,أكسيمي
979,Nashhārī,نشهاري
981,Maḥfūẓī,محفوظي
982,ʿAmrūsī,عمروسي
983,Lubū,لبو
984,Amlīhī,أمليهي
988,Ghasānī,غساني
990,Qayṣarī,قيصري
992,Ṣāwī,صاوي
993,Jarbī,جربي
998,Ghayraghī,غيرغي
999,Barzalī,برزلي
1000,Inkundarī ?,إنكندري ؟
1001,Zaghawī ?,زغوي ؟
1004,Zajūlī,زجولي
1007,Rāmī,رامي
1008,Ḥaramī,حرمي
1009,Gao,كاو
1010,Sulṭānī,سلتاني
1011,Kurdufānī,كردفاني
1013,Jubahī,جبهي
1014,Samakī,سمكي
1016,Qaṣrī,قصري
1017,Kūtī,كوتي
1019,Shaghshāwī,شغشاوي
1020,Zaghurī,زغري
1021,Bilālī,بلالي
1022,Tadmakī,تدمكي
1023,Dhahabī,ذهبي
1024,Shādimī,شادمي
1025,Kaylānī,كيلاني
1031,Wāfī,وافي
1034,Zarhūnī,زرهوني
1035,Kalsūkī,كلسوكي
1036,Arhūnī,أرهوني
1038,Ag Illādī,أك الادي
1039,Tazrakīnī,تزركيني
1041,Bādi,بادي
1043,Khurṭūsī,خرطوصي
1044,Ḥarkī,حركي
1045,Sasandī,سسندي
1046,Mawlūdī,مولودي
1054,Būnī,بوني
1055,Wāḍī,واضي
1059,Wānawghī (?),وانوغي
1060,Baghayogho,بغيغ
1061,Wisrī,وسري
1066,Humburī,همبري
1067,Qaylūbī,قيلوبي
1068,Attalī,أتلي
1071,Dawnakī,دونكي
1074,ʿUthmānī,عثماني
1077,Balwasawī,بلوسوي
1078,Ghābīrī,غابيري
1079,Kawlakhī ?,كولخي ؟
1080,Arkī,أركي
1081,Ṭarāblusī,طرابلسي
1082,Kūnākī,كوناكي
1083,Būsayfī,بوسيفي
1084,Kawjājī,كوجاجي
1085,Baskarī,بسكري
1092,Zakī,زكي
1095,Arkazī,أركزي
1098,Zaqarwī,زقروي
1099,Taktantī,تكتنتي
1101,Daghūghī,دغوغي
1103,Shamsadī,شمسدي
1104,Dūnakawī,دونكوي
1106,Sharnūbī,شرنوبي
1108,Kāniṣī,كانصي
1109,Kurdūdī,كردودي
1110,Jabīrī,جبيري
1113,Maḥmadī,محمدي
1115,Kāshfirī,كاشفري
1116,Rayyāḥī,رياحي
1117,Ghāzī,غزي
1118,Hudhudī,هدهدي
1119,Shahrūrī,شهروري
1122,Ifrīqī,إفريقي
1126,Khawārzamī,خوارزمي
1127,Talmūdī,تلمودي
1129,Jayalī,جيلي
1132,Akhmāsī,أخماسي
1138,Zamūrī,زموري
1140,Sufyānī,سفياني
1144,Salālī,سلالي
1147,Qālībī,قليبي
1150,Shaʿwānī,شعواني
1152,Sināwinī,سناوني
1153,Busansadī,بسنسدي
1154,Balaylī,بليلي
1157,Būḥinī,بوحني
1158,Bayūmī,بيومي
1159,Agādī,أكادي
1162,Arzī,أرزي
1169,Maīdugurī,ميدغري
1173,Shāghārī,شاغاري
1174,Kurnar Asabī,كرنر أسبى
1175,Gwammaja,غومجا
1180,Sīssī  (Cissé),سيسي
1181,Maghīlī,مغيلي
1182,Adabī,أدبي
1183,Fīrāwī,فيراوي
1184,Ḥimyarī,حميري
1188,Yarwāwī,يرووي
1193,Shādī,شادي
1194,Kilawī,كلوي
1195,Makirārī,مكراري
1196,Būakyī,بوكي
1197,Gonja,غنجا
1201,Murtajī,مرتجي
1203,Timitī,تمتي
1205,Shuhutī,شهتي
1206,Kamghatī,كمغتي
1208,Arzaī,أرزى
1209,Kabāwa,كباوا
1210,Ashalan,أشلن
1211,Ṣanāwī,صناوى
1213,Kete Krakye,
1214,Saghanughu,سغنوغاوي
1217,Nāwī,ناوى
1220,"Gogorowin, Ivory Coast",غغروى
1221,Ilūrī,إلوري
1222,Fughlāwī,فغلاوى
1226,Fasrī,فسري
1227,Raḥmūnī,رحمونى
1230,Qāsamī,قاسمى
1232,Abūjā,أبوجا 
1234,Ghumrāwī,غمراوي
1235,Sukī,سكى
1240,Dūtuwī,دوتوي
1241,Maḥbūbī,محبوبي
1242,Madābaghī,مدابغي
1245,Bʿarabī,بعربي
1246,Wangharī,ونغري
1248,Ghalālī,غلالي
1249,ʿAskurī,عسكري
1250,Yaʿmarī,يعمري
1253,Janī,جني‏
1254,Naḥrāwī,نحراوي‏
1257,Raḥmanī,رحمني‏‏
1258,Manfalūṭī,منفلوطي
1260,Nīsābūrī,نيسابوري
1263,Karmānī,كرماني
1264,Marʿashī,مرعشي
1269,Dīrīnī,ديريني
1270,Iṣbahānī,إصبهاني‏
1271,Fāriyābī,فاريابي‏ ‬
1273,Khayālī,خيالي‏ ‬
1274,Shāṭibī,شاطبي
1276,Sujāʿaī,سُجاعي‏ ‬
1278,Wāqadī (Wardī ?),واقدي‏ (وردي ؟) ‬
1283,Sakandarī,سكندري
1284,Rahūnī,رهوني‏
1285,Ruʿaynī,رعيني‏
1288,Isnawī,إسنوي
1293,Anfāsī,أنفاسي
1294,Yazlayṭanī,يزليطني‏ ‬
1295,Warzāzī,ورزازي‏
1296,Saktānī,سكْتاني‏
1301,Tamūkalī,تموكلي
1303,Maʿalūṭī,معلوطي
1309,Shumunī,شُمُنّي‏ ‬‏
1310,Jārbardī,جاربرْدي‏
1313,Rūmī,رومي‏ ‬
1314,Ardbīlī,أردبيلي
1315,Jāmī,جامي
1316,Adranawī,أَدْرَنَوي‏
1317,Isfarāyni,إسفرايني
1320,Khabayṣī,خبيصي
1321,Ḥafnāwī,حفناوي‏
1322,ʿUlaymī,عُلَيْمي‏
1324,Maklātī,مكلاتي
1325,Mybadī,ميبدي‏
1326,Ubadī,أُبَّدي‏ ‬
1330,Suḥaymī,سُحَيْمي‏
1331,Saʿyidī,سعيدي‏
1332,Sharīshī,شريشي‏ ‬
1333,Ḥawshī,حوشي
1335,Sharīf,شريف
1336,Ḥaḍānī,حضاني
1337,Sakkākī,سكاكي
1343,Marjānī,مرجاني
1344,Balīdī,بليدي
1345,ʿAqalī,عقلي‏ ‬
1347,Tadūrmī,تدورمي‏
1348,ʿAdharī,عذري
1349,Jahanī,جهني
1350,Sammanūdī,سَّمَنُّودي‏ ‬
1352,Qarāfī,قرافي‏ ‬
1353,Ramalī,رملي
1354,Dalāʾī,دلائي‏ ‬
1355,Aywabī,أيوبي‏
1357,Yaḥyaī,يحيى
1359,Haytamī,هيتمي‏
1360,Jadhāmī,جذامي‏
1361,Najāʾī,نجائي
1364,Mijrādī,مجرادي‏
1366,Tinwajī,تنوخي‏ ‬
1369,Amhājir,َأمْهاجِر
1370,Dabāṭʾī,دباطائي
1374,Kāshī,كاشي
1377,Shakātī (?),شكاتي‏(‬؟‏)‬
1378,Hiṭṭī,هيطي
1380,Bākhalī,باخلي
1381,Jawbarī,جَوْبَري
1383,Baṭaliyūsī,بطليوسي‏
1384,Khuwayyī,خُوَيِّي‏
1386,ʿAzzūzī,عزوزي
1387,ʿUdayjī,عديجي
1388,Aʿmāmī,أعمامي
1389,Abābakī,أبابكي
1390,Abdūkulī,أبدوكلي
1391,Abhamī,أبهمي
1392,Abījī,أبيجي
1393,Āgdāshī,أگداشي
1394,Ajmallī,أجملي
1395,Akhtīrī,أختيري
1396,Alfaghī,ألفغي
1397,Arbaʿīnī,أربعيني
1398,Ashfaghī,أشفغي
1399,Awlād Sīdī,اولاد سيدي
1400,Bābaḥamdī,بابحمدي
