ID,Parent ID,Subject,Arabic Subject
221,,literature: stories: Kisraʾs palace,أدب: قصص: ايوان كسري
222,,belief: theology: death: angelsʾ questions,عقيدة: توحيد: الموت: سؤال الملكين
223,,education: education for girls,تربية: تعليم البنات
226,,history: events,تاريخ: حوادث
227,,jurisprudence: marriage: breastfeeding,فقه: نكاح: رضاع
228,,conduct: travel,آداب: السفر
229,,jurisprudence: principles: debate,فقه: أصول: مناظرة
230,,history: Mauritania: al-baydan: customs,تاريخ: موريتانية: البيضان: تقاليد
231,,history: historiography,تاريخ: إشتقاق
233,,jurisprudence: sanctions: apostasy,فقه: عقوبات: ردة
234,,literature: rihla / travel (& history of ʿulamaʾ),أدب: رحلات (وتاريخ علماء)
235,,jurisprudence: duties: prayer: shortened,فقه: عبادات: صلاة: قصر
236,,belief: Prophet Muhammad,عقيدة: النبي محمد
237,,literature: study of: writers,أدب: دراسة: أدباء
238,,jurisprudence: adjudication: injustice,فقه: قضاء:  مظالم
239,,education: chain of authority: Qadiriyya,تربية: سلسلة: قادرية
241,,encyclopedia,موسوعة
242,,jurisprudence: duties: jihad,فقه: عبادات: جهاد
243,,belief: theology: incarnation,عقيدة: توحيد: الحلول والاتحاد
244,,jurisprudence / hadith,فقه / حديث
245,,belief: eschatology,عقيدة: علوم الآخرة
246,,jurisprudence: adjudication: legal opinions,فقه: قضاء: فتاوي
248,,jurisprudence: duties,فقه: عبادات
249,,Arabic language: calligraphy,لغة عربية: فن الخط
250,,economy: redemption,إقتصاد: فداء
251,,economy: division of assets,إقتصاد: تقسيم أموال
252,,jurisprudence: sanctions: murder (accidental),فقه: عقوبات: دية/قصاص (غير متعمد)
253,,economy: assistance: blood money,إقتصاد: إعانة: دية
255,,economy: land/well ownership,إقتصاد: ملك الأرض البئر
256,,jurisprudence: transactions: payment for talismans,فقه: معاملات: تعاطي الأجر علي الرقية
257,,literature: ghazal (love poetry),أدب: غزل
258,,literature: eulogy: Sīdiyya b. al-Mukhtār b. al-Hayba (al-Intishāʾī),أدب: مدح: سيدي الكبير
260,,bibliography,ببليوغرافيا
262,,jurisprudence: duties: jihad: tribute,فقه: عبادات: جهاد: جزية
263,,libraries: book lending,مكتبات: اعارة الكتب
265,,devotional: invocation,تحنث: أدعية
266,,economy,إقتصاد
267,,jurisprudence: sanctions: for causing injury/death,فقه: عقوبات: دية
268,,jurisprudence: sanctions: retaliation,فقه: عقوبات: قصاص
269,,jurisprudence: problems: penance,فقه: مسائل: كفارات
270,,jurisprudence:  transactions: sales: commercial enterprise,فقه: معاملات: بيوع: شركة
271,,jurisprudence: marriage: reconciliation,فقه: نكاح: اصلال
272,,"jurisprudence: marriage: reconciliation (illegal, post-divorce: tahlil)",فقه: نكاح: تحليل
273,,jurisprudence: marriage: chastity,فقه: نكاح: عفة
274,,jurisprudence: duties: purification: ablution,فقه: عبادات: طهارة: وضوء
275,,jurisprudence: duties: purification: ritual purity,فقه: عبادات: طهارة
276,,"ethics: animals, treatment of",أخلاق: الرفق بالحيوان
277,,jurisprudence: sanctions: murder (premeditated & accidental),فقه: عقوبات: دية/قصاص (عمد وخطأ)
279,,literature: study of: writing,أدب: دراسة: من الشعر
280,,jurisprudence: marriage: proxy,فقه: نكاح: توكيل
281,,jurisprudence: duties: zakat (gold & silver),فقه: عبادات: زكاة دهب وفضة)
282,,jurisprudence: transactions: custody of children (nurturing),فقه: معاملات: حضانة (الصغير)
283,,jurisprudence: problems: testimony (by oathing),فقه: مسائل: قسامة
284,,jurisprudence: marriage: property of wife,فقه: نكاح: مال الزوجة
285,,jurisprudence: problems: sales / prayer at funerals,فقه: مسائل: بيوع / صلاة علي الجنازة
287,,history: Mauritania: tribes: Awlad Ahmad b. Daman,تاريخ: موريتانية: قبائل: اولاد أحمد بن دامن
288,,history: events: at wells,تاريخ: حوادث :وقائع آبار
289,,"belief: theology: hell, eternity of torture in",عقيدة: توحيد: خلود الكفار في النار
292,,jurisprudence: lawful & unlawful: diverse,فقه: الحلال والحرام: متعدد
295,,jurisprudence: adjudication: proof,فقه: قضاء: إقامة البينة
297,,biography: Yahya b. Ahmad Fal,تراجم: يحيي بن أحمد فال
300,,jurisprudence: transactions: division of assets,فقه: معاملات: تقسيم أموال
301,,jurisprudence: marriage: waiting period for,فقه: نكاح: عدة
302,,Arabic language: rhetoric: style,لغة عربية: بلاغة: أسلوب
303,,jurisprudence: marriage: paternity,فقه: نكاح: لقطاء
304,,biography: Ibn ʿAmir,تراجم: ابن عامر
305,,jurisprudence:  transactions: gifts (irrevocable & qualified),فقه: معاملات: هبات (العمري والرقبي)
306,,jurisprudence: lawful & unlawful: talismans (use of),فقه: الحلال والحرام: رقي
307,,jurisprudence: duties: zakat (al-fitr),فقه: عبادات: زكاة (الفطر)
308,,jurisprudence: problems: gifts / charity / paternity,فقه: مسائل: هدايا / صدقة / استلحاق
309,,jurisprudence: transactions: pensions,فقه: معاملات: معاشات
311,,esoteric sciences: dream interpretation,باطنيات: رؤية
312,,jurisprudence: duties: purification: disposal of dead animals,فقه: عبادات: طهارة: احراق الجيف
313,,jurisprudence: lawful & unlawful: food: wild animals,فقه: الحلال والحرام: أكل: لحوم الخيل
315,,jurisprudence: lawful & unlawful: veiling,فقه: الحلال والحرام: ستر العورة
316,,jurisprudence: duties: prayer: voluntary,فقه:عبادات: صلااة: التطوع
317,,politics: theory of government: rulers: & succession,سياسة: أحكام سلطانية :خلافة
318,,jurisprudence: transactions: monopoly (warning against),فقه: معاملات: إحتكار
